NM_001107594	NKX2-3
NM_001107594	NKX2-3
NM_001107594	NKX2-3
NM_001107594	NKX2-3
NM_001107594	NKX2-3
NM_001106361	PAX2
NM_001047108	LBX1
NM_019247	PITX3
NM_019247	PITX3
NM_019247	PITX3
NM_019247	PITX3
NM_019247	PITX3
NM_019247	PITX3
NM_001008349	NFKB2
NM_001008349	NFKB2
NM_001191052	TCF7L2
NM_001191052	TCF7L2
NM_001191052	TCF7L2
NM_001191052	TCF7L2
NM_022636	VAX1
NM_022636	VAX1
NM_022636	VAX1
NM_001109169	EMX2
NM_001109169	EMX2
NM_001109169	EMX2
NM_001109169	EMX2
NM_001109169	EMX2
NM_001106423	MECOM
NM_001106478	HLTF
NM_001108939	HNF4G
NM_001033909	ELF2
NM_012780	ARNT
NM_012780	ARNT
NM_012780	ARNT
NM_012780	ARNT
NM_130429	LEF1
NM_130429	LEF1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_001276711	NFKB1
NM_031130	NR2F1
NM_031130	NR2F1
NM_031130	NR2F1
NM_031130	NR2F1
NM_001024297	SPZ1
NM_001024297	SPZ1
NM_001100523	OTP
NM_001100523	OTP
NM_001100523	OTP
NM_001100523	OTP
NM_134337	FOXD1
NM_001199195	BDP1
NM_001191845	HEY1
NM_001108940	BHLHE22
NM_001012178	MYNN
NM_001109181	SOX2
NM_001109181	SOX2
NM_001109181	SOX2
NM_001109181	SOX2
NM_001109181	SOX2
NM_001109181	SOX2
NM_001109181	SOX2
NM_001012181	ELF2
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_001191846	FOXO1
NM_013028	SHOX2
NM_013028	SHOX2
NM_013028	SHOX2
NM_013028	SHOX2
NM_013028	SHOX2
NM_013028	SHOX2
NM_001106450	ETV3
NM_001106450	ETV3
NM_001106450	ETV3
NM_030860	MEF2D
NM_001106446	ZBTB7B
NM_001106446	ZBTB7B
NM_001106446	ZBTB7B
NM_001106446	ZBTB7B
NM_001106446	ZBTB7B
NM_001107694	RFX5
NM_001107694	RFX5
NM_001107694	RFX5
NM_001107694	RFX5
NM_001107694	RFX5
NM_001107694	RFX5
NM_001271334	ZFP697
NM_001271334	ZFP697
NM_001271334	ZFP697
NM_001271334	ZFP697
NM_001271334	ZFP697
NM_001271334	ZFP697
NM_001106451	TBX15
NM_001106451	TBX15
NM_001106451	TBX15
NM_001106451	TBX15
NM_001106451	TBX15
NM_001007012	ALX3
NM_001007012	ALX3
NM_001007012	ALX3
NM_001007012	ALX3
NM_001007012	ALX3
NM_001007012	ALX3
NM_019334	PITX2
NM_019334	PITX2
NM_019334	PITX2
NM_019334	PITX2
NM_019334	PITX2
NM_019334	PITX2
NM_019334	PITX2
NM_001042505	PITX2
NM_001042505	PITX2
NM_001042505	PITX2
NM_001042505	PITX2
NM_001042505	PITX2
NM_001042505	PITX2
NM_001042505	PITX2
NM_001012219	LHX8
NM_001012219	LHX8
NM_001012219	LHX8
NM_001012219	LHX8
NM_001012219	LHX8
NM_001012219	LHX8
NM_012805	RXRA
NM_012805	RXRA
NM_012805	RXRA
NM_012805	RXRA
NM_012805	RXRA
NM_012805	RXRA
NM_001105721	NOTCH1
NM_001105739	PRRX2
NM_001105739	PRRX2
NM_001105739	PRRX2
NM_001105739	PRRX2
NM_001105739	PRRX2
NM_001105739	PRRX2
NM_001107834	PBX3
NM_001107834	PBX3
NM_001107834	PBX3
NM_001107834	PBX3
NM_031789	NFE2L2
NM_031789	NFE2L2
NM_001106553	ALX4
NM_001106553	ALX4
NM_001106553	ALX4
NM_001106553	ALX4
NM_001106553	ALX4
NM_001106493	EHF
NM_001106493	EHF
NM_001106493	EHF
NM_001106493	EHF
NM_001106493	EHF
NM_001106493	EHF
NM_001106493	EHF
NM_001106493	EHF
NM_031534	WT1
NM_031534	WT1
NM_031534	WT1
NM_031534	WT1
NM_031534	WT1
NM_001107758	MEIS2
NM_001107758	MEIS2
NM_001107758	MEIS2
NM_001107758	MEIS2
NM_001107758	MEIS2
NM_001191905	SCRT2
NM_001191905	SCRT2
NM_001191905	SCRT2
NM_001191905	SCRT2
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270933	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001270931	HNF4A
NM_001107805	NFATC2
NM_001107805	NFATC2
NM_001099361	TBPL2
NM_001107823	GFI1B
NM_001107823	GFI1B
NM_001107823	GFI1B
NM_057109	BARHL1
NM_057109	BARHL1
NM_057109	BARHL1
NM_057109	BARHL1
NM_057109	BARHL1
NM_053709	LMX1B
NM_053709	LMX1B
NM_053709	LMX1B
NM_053709	LMX1B
NM_001107837	LHX6
NM_001107837	LHX6
NM_001107837	LHX6
NM_001107837	LHX6
NM_001107837	LHX6
NM_001107837	LHX6
NM_001107837	LHX6
NM_001107840	ZBTB26
NM_001106571	LHX2
NM_001106571	LHX2
NM_001106571	LHX2
NM_001106571	LHX2
NM_001106571	LHX2
NM_001106571	LHX2
NM_019328	NR4A2
NM_019328	NR4A2
NM_019328	NR4A2
NM_019328	NR4A2
NM_019328	NR4A2
NM_001191070	TBR1
NM_001191070	TBR1
NM_001106552	SP5
NM_001106552	SP5
NM_001100531	DLX1
NM_001100531	DLX1
NM_001100531	DLX1
NM_001100531	DLX1
NM_001191746	DLX2
NM_001191746	DLX2
NM_001191746	DLX2
NM_001191746	DLX2
NM_001191902	SP9
NM_031018	ATF2
NM_031018	ATF2
NM_001191903	HOXD12
NM_001191903	HOXD12
NM_001191903	HOXD12
NM_001191903	HOXD12
NM_001191903	HOXD12
NM_001105886	HOXD13
NM_001105886	HOXD13
NM_001105886	HOXD13
NM_001105886	HOXD13
NM_001105886	HOXD13
NM_001105886	HOXD13
NM_001105886	HOXD13
NM_001173469	HOXD9
NM_001173469	HOXD9
NM_001173469	HOXD9
NM_001173469	HOXD9
NM_001271038	HOXD3
NM_001271038	HOXD3
NM_001271038	HOXD3
NM_001271038	HOXD3
NM_001107094	HOXD10
NM_001107094	HOXD10
NM_001107094	HOXD10
NM_001105884	HOXD1
NM_001105884	HOXD1
NM_001105884	HOXD1
NM_001005892	SPI1
NM_001005892	SPI1
NM_001005892	SPI1
NM_001005892	SPI1
NM_001005892	SPI1
NM_001005892	SPI1
NM_001005892	SPI1
NM_001005562	CREB3L1
NM_001005562	CREB3L1
NM_001108956	ELF5
NM_001108956	ELF5
NM_001108956	ELF5
NM_001108956	ELF5
NM_001108956	ELF5
NM_001108956	ELF5
NM_013001	PAX6
NM_013001	PAX6
NM_013001	PAX6
NM_013001	PAX6
NM_013001	PAX6
NM_001191076	EBF4
NM_001191076	EBF4
NM_001191904	NKX2-2
NM_001191904	NKX2-2
NM_001191904	NKX2-2
NM_001107787	PAX1
NM_012743	FOXA2
NM_012743	FOXA2
NM_012743	FOXA2
NM_012743	FOXA2
NM_012743	FOXA2
NM_012743	FOXA2
NM_001107788	GZF1
NM_001109546	VSX1
NM_001109546	VSX1
NM_001109546	VSX1
NM_001109546	VSX1
NM_001109546	VSX1
NM_001168650	SOX12
NM_001168650	SOX12
NM_001168650	SOX12
NM_001168650	SOX12
NM_012797	ID1
NM_001106528	PLAGL2
NM_001106528	PLAGL2
NM_001106528	PLAGL2
NM_001106528	PLAGL2
NM_001106528	PLAGL2
NM_001100778	E2F1
NM_001100778	E2F1
